"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"550","RT @fluffehfish: squid sisters! (i used my nail polish in this drawing) Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/FlnjEd9ayM",FALSE,0,NA,2017-12-15 23:52:06,FALSE,NA,"941818179860312064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Trigunner",988,TRUE,FALSE,NA,NA
"551","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:50:32,FALSE,NA,"941817782626279425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neshpet_",397,TRUE,FALSE,NA,NA
"552","RT @fluffehfish: more fanart of the concept art~~ #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/NeV62uFqZJ",FALSE,0,NA,2017-12-15 23:48:58,FALSE,NA,"941817390056161280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetcosplay",460,TRUE,FALSE,NA,NA
"553","RT @3DROD: HEY! DJ! #Splatoon #Splatoon2 #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 @NintendoAmerica @SplatoonJP https://t.co/JJvacI7ovV",FALSE,0,NA,2017-12-15 23:48:46,FALSE,NA,"941817339296620544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetcosplay",385,TRUE,FALSE,NA,NA
"554","RT @fluffehfish: squid sisters! (i used my nail polish in this drawing) Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/FlnjEd9ayM",FALSE,0,NA,2017-12-15 23:48:30,FALSE,NA,"941817271499890688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetcosplay",988,TRUE,FALSE,NA,NA
"555","RT @windwafers: Queen of sweaters
#Splatoon #Splatoon2 https://t.co/ryyRvSVYoL",FALSE,0,NA,2017-12-15 23:48:23,FALSE,NA,"941817244023009280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetcosplay",38,TRUE,FALSE,NA,NA
"556","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:48:16,FALSE,NA,"941817212662251520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuggetcosplay",397,TRUE,FALSE,NA,NA
"557","RT @qekkon: hey hey it's agent 1
#callie #splatoon #agent1 #clipstudio #digitalart #Sketch https://t.co/C94JyA9wTf",FALSE,0,NA,2017-12-15 23:47:57,FALSE,NA,"941817132425162752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rain_The_Wicked",77,TRUE,FALSE,NA,NA
"558","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:47:12,FALSE,NA,"941816946646847489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bodegacaat",397,TRUE,FALSE,NA,NA
"559","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:46:49,FALSE,NA,"941816848319778816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4649coo1",397,TRUE,FALSE,NA,NA
